id,nombre,descripcion
1,Sin color,Sin descripcion
2,MARRON,Sin descripcion
3,NEGRO,Sin descripcion
4,GRIS,Sin descripcion
5,BLANCO CON MANCHAS NEGRAS,Sin descripcion
6,MANTO NEGRO,Sin descripcion
7,ATIGRADO,Sin descripcion
8,BLANCO CON MANCHAS MARRONES,Sin descripcion
9,BLANCO,Sin descripcion
10,DORADO,Sin descripcion
11,BEIGE,Sin descripcion
12,CEBRITA,Sin descripcion
13,GRIS/BLANCO,Sin descripcion
14,MARRON/NEGRO,Sin descripcion
15,AMARILLO,Sin descripcion
16,BARCINO,Sin descripcion
17,ATIGRADO Y BLANCO,Sin descripcion
18,BAYO,Sin descripcion
19,MANTO CLARO,Sin descripcion
20,BLUE POINT,Sin descripcion
21,SEAL POINT,Sin descripcion
22,CHAMPAGNE,Sin descripcion
23,TRICOLOR,Sin descripcion
24,CHOCOLATE,Sin descripcion
25,NEGRO Y BLANCO,Sin descripcion
26,PELIROJO,Sin descripcion
27,APRICOT,Sin descripcion
28,SAL Y PIMIENTA,Sin descripcion
29,BLANCO Y NEGRO,Sin descripcion
30,NEGRO Y FUEGO,Sin descripcion
31,MARRON Y BCO,Sin descripcion
32,AMARILLA,Sin descripcion
33,BLANCO Y GRIS,Sin descripcion
34,NEGRA,Sin descripcion
35,AMARILLO Y BCO,Sin descripcion
36,BARCINO Y BLANCO,Sin descripcion
37,MARRON Y B,Sin descripcion
38,NEG,Sin descripcion
39,BLANCO Y MARRON,Sin descripcion
40,MARRON Y NEGRO,Sin descripcion
41,MARRON Y BLANCO,Sin descripcion
42,BLANCO Y AMARILLO,Sin descripcion
43,GRIS Y BCO,Sin descripcion
44,BLANCO MARRON Y NGO,Sin descripcion
45,NEGRO Y MARRON,Sin descripcion
46,BARCINA,Sin descripcion
47,AMARILLO Y NEGRO,Sin descripcion
48,GRIS Y BLANCO,Sin descripcion
49,BCO Y GRIS,Sin descripcion
50,NEGRO Y GRIS,Sin descripcion
51,NARANJA,Sin descripcion
52,GRIS ATIGRADO,Sin descripcion
53,GRIS Y ATIGRADO,Sin descripcion
54,NEGRO Y BCO,Sin descripcion
55,ATIGRADO AMARILLO,Sin descripcion
56,BAYO Y BLANCO,Sin descripcion
57,NEGRO Y B,Sin descripcion
58,ARLEQUIN,Sin descripcion
59,MARRON CLARO,Sin descripcion
60,MARR,Sin descripcion
61,PLATEADO,Sin descripcion
62,NEGRO Y AMARILLO,Sin descripcion
63,NEGRO Y BL,Sin descripcion
64,GRIS Y B,Sin descripcion
65,GRIS Y NEGRO,Sin descripcion
66,BLANCO PIRATA,Sin descripcion
67,CHOCOLATE Y BLANCO,Sin descripcion
68,DORADO Y BLANCO,Sin descripcion
69,BEIGE Y NEGRO,Sin descripcion
70,MARRON OSCURO,Sin descripcion
71,CHOCOLATE POINT,Sin descripcion
72,TE CON LECHE,Sin descripcion
73,RUANO DORADO,Sin descripcion
74,MANTO MARRON,Sin descripcion
75,VERDE Y NARANJA,Sin descripcion
76,RED POINT,Sin descripcion
77,CAREY POINT,Sin descripcion
78,RUANO NEGRO,Sin descripcion
79,TABY POINT,Sin descripcion
80,BARCINO GRIS,Sin descripcion
81,CAREY GRIS,Sin descripcion
82,SMOKE,Sin descripcion
83,FAWN POINT,Sin descripcion
84,BARCINO MARMOLADO,Sin descripcion
85,BARCINO GRIS Y BLANCO,Sin descripcion
86,COLORADA,Sin descripcion
87,BLANCO Y BARCINO,Sin descripcion
88,BEIGE Y BLANCO,Sin descripcion
89,BLANCO Y ATIGRADO,Sin descripcion
90,BATARASA,Sin descripcion
91,CRUZA BOXER,Sin descripcion
92,AZUL,Sin descripcion
93,CELESTE,Sin descripcion
94,BARCINO CAREY,Sin descripcion
95,ALBINO,Sin descripcion
96,NEGRO Y ATIGRADO,Sin descripcion
97,AGUTI,Sin descripcion
98,AMARILLO BARCINO MARMOLADO,Sin descripcion
99,CRUZA SCHNAUZER,Sin descripcion
100,AZUL Y BLANCO,Sin descripcion
101,GRIS Y BEIGE,Sin descripcion
102,AZUL Y VERDE,sin descripcion
103,ARLEQUIN Y BLANCO,sin descripcion
104,Sin Color,Sin descripcion
