idTemp,fechaInicioAgenda,hora,anamnesis,fechaInicioAgenda,eog,tratamiento,temperatura,peso,referencia,nota_caja,atendidoPor,pendiente,aFuturo,fechaInicioAgenda,fechaInicioAgenda,pacienteId,clienteId,referenciumId
4501,2024-06-27T03:00:00.000Z,01:00:00,"Sin anamnesis",2024-06-27T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2024-06-27T03:00:00.000Z,2024-06-27T03:00:00.000Z,1078,55,2
4502,2024-11-13T03:00:00.000Z,01:00:00,"Sin anamnesis",2024-11-13T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2024-11-13T03:00:00.000Z,2024-11-13T03:00:00.000Z,1251,231,2
4503,2024-09-25T03:00:00.000Z,01:00:00,"Sin anamnesis",2024-09-25T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2024-09-25T03:00:00.000Z,2024-09-25T03:00:00.000Z,1303,283,2
4504,2025-02-02T03:00:00.000Z,01:00:00,"Sin anamnesis",2025-02-02T03:00:00.000Z,"Sin eog","Rabia y triple",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2025-02-02T03:00:00.000Z,2025-02-02T03:00:00.000Z,1078,55,2
4505,2025-03-20T03:00:00.000Z,01:00:00,"Sin anamnesis",2025-03-20T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2025-03-20T03:00:00.000Z,2025-03-20T03:00:00.000Z,1078,55,2
4506,2025-04-25T03:00:00.000Z,01:00:00,"Sin anamnesis",2025-04-25T03:00:00.000Z,"Sin eog",KC,0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2025-04-25T03:00:00.000Z,2025-04-25T03:00:00.000Z,1215,195,2
4507,2025-05-07T03:00:00.000Z,01:00:00,"Sin anamnesis",2025-05-07T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2025-05-07T03:00:00.000Z,2025-05-07T03:00:00.000Z,1281,261,2
4508,2025-05-07T03:00:00.000Z,01:00:00,"Sin anamnesis",2025-05-07T03:00:00.000Z,"Sin eog",KC,0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2025-05-07T03:00:00.000Z,2025-05-07T03:00:00.000Z,1281,261,2
4509,2024-12-14T03:00:00.000Z,01:00:00,"Sin anamnesis",2024-12-14T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2024-12-14T03:00:00.000Z,2024-12-14T03:00:00.000Z,1069,46,2
4510,2024-12-14T03:00:00.000Z,01:00:00,"Sin anamnesis",2024-12-14T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2024-12-14T03:00:00.000Z,2024-12-14T03:00:00.000Z,5375,46,2
4511,2024-08-03T03:00:00.000Z,01:00:00,"Sin anamnesis",2024-08-03T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2024-08-03T03:00:00.000Z,2024-08-03T03:00:00.000Z,1086,63,2
4512,2024-07-10T03:00:00.000Z,01:00:00,"Sin anamnesis",2024-07-10T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2024-07-10T03:00:00.000Z,2024-07-10T03:00:00.000Z,1130,107,2
4513,2025-02-26T03:00:00.000Z,01:00:00,"Sin anamnesis",2025-02-26T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2025-02-26T03:00:00.000Z,2025-02-26T03:00:00.000Z,1136,113,2
4514,2025-03-19T03:00:00.000Z,01:00:00,"Sin anamnesis",2025-03-19T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2025-03-19T03:00:00.000Z,2025-03-19T03:00:00.000Z,1157,134,2
4515,2024-08-02T03:00:00.000Z,01:00:00,"Sin anamnesis",2024-08-02T03:00:00.000Z,"Sin eog","Rabia y triple",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2024-08-02T03:00:00.000Z,2024-08-02T03:00:00.000Z,1172,150,2
4516,2024-12-22T03:00:00.000Z,01:00:00,"Sin anamnesis",2024-12-22T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2024-12-22T03:00:00.000Z,2024-12-22T03:00:00.000Z,1204,183,2
4517,2025-05-09T03:00:00.000Z,01:00:00,"Sin anamnesis",2025-05-09T03:00:00.000Z,"Sin eog","SEXTUPLE Y RABIA",0,0,"Sin referencia","Sin referencia",Administrador,TRUE,TRUE,2025-05-09T03:00:00.000Z,2025-05-09T03:00:00.000Z,1097,74,2
