id,fecha,hora,anamnesis,agendado,eog,tratamiento,temperatura,peso,referencia,notaCaja,atendidoPor,pendiente,aFuturo,createdAt,updatedAt,MascotumId,referenciumId,ClienteId
1,"2023-02-06 00:00:00",00:00:00,"Sin especificar","2023-02-06 00:00:00","Sin especificar","MANDAR MENSAJE PARA VER COMO VIENE",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",379,6,229
2,"2022-12-14 00:00:00",00:00:00,"Sin especificar","2022-12-14 00:00:00","Sin especificar","ESCRIBIR PARA VER COMO SIGUE",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",17,6,181
3,"2023-02-01 00:00:00",00:00:00,"Sin especificar","2023-02-01 00:00:00","Sin especificar","CONTROL 13:30",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",389,6,236
4,"2023-01-09 00:00:00",00:00:00,"Sin especificar","2023-01-09 00:00:00","Sin especificar","RECORDAR DESPARACITACION CON NEXGARD",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",17,6,181
5,"2023-02-01 00:00:00",00:00:00,"Sin especificar","2023-02-01 00:00:00","Sin especificar","CONTROL 13:30",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",546,6,304
6,"2022-12-10 00:00:00",00:00:00,"Sin especificar","2022-12-10 00:00:00","Sin especificar","CONTROLAR GASTRP",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",140,6,1411
7,"2022-12-12 00:00:00",00:00:00,"Sin especificar","2022-12-12 00:00:00","Sin especificar","CONTROL 18:30",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",140,6,1411
8,"2022-12-13 00:00:00",00:00:00,"Sin especificar","2022-12-13 00:00:00","Sin especificar","CONTROL 19:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",135,6,1410
9,"2022-12-26 00:00:00",00:00:00,"Sin especificar","2022-12-26 00:00:00","Sin especificar",DESPARACITAR,36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",18,6,12
10,"2022-12-12 00:00:00",00:00:00,"Sin especificar","2022-12-12 00:00:00","Sin especificar",CONTROL,36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",277,6,93
11,"2022-12-12 00:00:00",00:00:00,"Sin especificar","2022-12-12 00:00:00","Sin especificar","CONTROL 14 HS",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",92,6,14
12,"2023-02-15 00:00:00",00:00:00,"Sin especificar","2023-02-15 00:00:00","Sin especificar","RECORDAR DESPARACITACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",303,6,41
13,"2023-02-20 00:00:00",00:00:00,"Sin especificar","2023-02-20 00:00:00","Sin especificar","RECORDAR VACUNACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",303,6,41
14,"2023-02-09 00:00:00",00:00:00,"Sin especificar","2023-02-09 00:00:00","Sin especificar","CONTROL 19:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",151,6,1540
15,"2023-02-03 00:00:00",00:00:00,"Sin especificar","2023-02-03 00:00:00","Sin especificar","CONTROL 19:30",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",30,6,192
16,"2023-02-20 00:00:00",00:00:00,"Sin especificar","2023-02-20 00:00:00","Sin especificar","RECORDAR VACUNACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",566,6,310
17,"2022-12-12 00:00:00",00:00:00,"Sin especificar","2022-12-12 00:00:00","Sin especificar","CONTROL CASTRACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",237,6,70
18,"2023-01-02 00:00:00",00:00:00,"Sin especificar","2023-01-02 00:00:00","Sin especificar","MANDAR MENSAJE PARA VER COMO ESTA",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",277,6,93
19,"2022-12-16 00:00:00",00:00:00,"Sin especificar","2022-12-16 00:00:00","Sin especificar","CONTROL DE ARTORISIS 14:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",547,6,1431
20,"2022-12-27 00:00:00",00:00:00,"Sin especificar","2022-12-27 00:00:00","Sin especificar","CONTROL 19:00 HS",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",557,6,1433
21,"2022-12-14 00:00:00",00:00:00,"Sin especificar","2022-12-14 00:00:00","Sin especificar","CONTROL 19:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",350,6,170
22,"2022-12-16 00:00:00",00:00:00,"Sin especificar","2022-12-16 00:00:00","Sin especificar",CONTROL,36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",560,6,1434
23,"2023-01-12 00:00:00",00:00:00,"Sin especificar","2023-01-12 00:00:00","Sin especificar","RECORDAR DARLE NEXGARD",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",560,6,1434
24,"2023-01-02 00:00:00",00:00:00,"Sin especificar","2023-01-02 00:00:00","Sin especificar","MANDAR MENSAJE PARA VER COMO VIENE",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",563,6,1435
25,"2022-12-15 00:00:00",00:00:00,"Sin especificar","2022-12-15 00:00:00","Sin especificar","CONTROL 14:00 HS",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",567,6,1436
26,"2022-12-19 00:00:00",00:00:00,"Sin especificar","2022-12-19 00:00:00","Sin especificar","CONTROL 19:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",604,6,1445
27,"2022-12-15 00:00:00",00:00:00,"Sin especificar","2022-12-15 00:00:00","Sin especificar","CONTROL 19:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",619,6,1446
28,"2022-12-14 00:00:00",00:00:00,"Sin especificar","2022-12-14 00:00:00","Sin especificar","CONTROL S/H",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",351,6,173
29,"2022-11-21 00:00:00",00:00:00,"Sin especificar","2022-11-21 00:00:00","Sin especificar","REPETIR BICORMICINA",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",5,6,2
30,"2022-12-19 00:00:00",00:00:00,"Sin especificar","2022-12-19 00:00:00","Sin especificar","RECORDAR DESPARACITACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",244,6,74
31,"2023-01-07 00:00:00",00:00:00,"Sin especificar","2023-01-07 00:00:00","Sin especificar","CONTROL 12:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",202,6,1562
32,"2022-12-19 00:00:00",00:00:00,"Sin especificar","2022-12-19 00:00:00","Sin especificar","CONTROL 14:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",625,6,1449
33,"2022-12-19 00:00:00",00:00:00,"Sin especificar","2022-12-19 00:00:00","Sin especificar","RECORDAR VACUNACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",630,6,1450
34,"2022-12-17 00:00:00",00:00:00,"Sin especificar","2022-12-17 00:00:00","Sin especificar","RECORDAR VACUNACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",634,6,1451
35,"2022-11-28 00:00:00",00:00:00,"Sin especificar","2022-11-28 00:00:00","Sin especificar",ALTA,36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",6,6,7
36,"2023-02-21 00:00:00",00:00:00,"Sin especificar","2023-02-21 00:00:00","Sin especificar","RECORDAR VACUNACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",164,6,1550
37,"2022-12-20 00:00:00",00:00:00,"Sin especificar","2022-12-20 00:00:00","Sin especificar","CONTROL 19:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",635,6,1452
38,"2022-12-05 00:00:00",00:00:00,"Sin especificar","2022-12-05 00:00:00","Sin especificar",DESPARACITACION,36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",7,6,3
39,"2023-02-16 00:00:00",00:00:00,"Sin especificar","2023-02-16 00:00:00","Sin especificar","RECORDAR DESPARACITACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",164,6,1550
40,"2023-02-06 00:00:00",00:00:00,"Sin especificar","2023-02-06 00:00:00","Sin especificar","RECORDAR VACUNACION",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",569,6,311
41,"2022-12-15 00:00:00",00:00:00,"Sin especificar","2022-12-15 00:00:00","Sin especificar","CONTROL 19:00",36.2,36.2,"Sin especificar","Sin especificar","Sin especificar",FALSE,FALSE,"2024-02-15 12:21:06","2024-02-20 09:30:09",351,6,173
