id,fechaAlta,hora,anamnesis,agendado,eog,tratamiento,temperatura,peso,referencia,notaCaja,atendidoPor,pendiente,aFuturo,createdAt,updatedAt,MascotumId,referenciumId,clienteId
1,2018-05-09T17:47:44.000Z,17:47:44,Sin observaciones,2018-05-09T17:47:44.000Z,Sin especificar,Sin especificar,0,18,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-05-09T17:47:44.000Z,2018-05-09T17:47:44.000Z,1026,1,3
2,2020-11-14T17:51:01.000Z,17:51:01,Se palparon articulaciones y tejidos blandos y no e encontro dolor. Se manda equilibrio obesity 275g por dia para bajar de peso y ejercicio diario.Tto: dipirona inyectable ,2020-11-14T17:51:01.000Z,Sin especificar,Sin especificar,39.4,31.35,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2020-11-14T17:51:01.000Z,2020-11-14T17:51:01.000Z,1032,1,9
4,2021-01-23T13:52:06.000Z,13:52:06,Agitacion casi permanenteDemuestra algun  dolor en region toraco lumbarNada mas para destacardipirona cada 12 hrs,2021-01-23T13:52:06.000Z,Sin especificar,Sin especificar,39.4,30.5,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-01-23T13:52:06.000Z,2021-01-23T13:52:06.000Z,1032,1,9
6,2021-02-06T12:00:00.000Z,12:00:00,Sin observaciones,2021-02-06T12:00:00.000Z,Sin especificar,Sin especificar,38,30,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2021-02-06T12:00:00.000Z,2021-02-06T12:00:00.000Z,1032,1,9
8,2022-01-04T21:41:43.000Z,21:41:43,comienza tratamiento para bajar de peso con virbac wtrihepat 5 ml cada 24 hs ,2022-01-04T21:41:43.000Z,Sin especificar,Sin especificar,0,28.45,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2022-01-04T21:41:43.000Z,2022-01-04T21:41:43.000Z,1032,1,9
9,2022-01-19T13:56:41.000Z,13:56:41,Sin observaciones,2022-01-19T13:56:41.000Z,Sin especificar,Sin especificar,0,28100,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2022-01-19T13:56:41.000Z,2022-01-19T13:56:41.000Z,1032,1,9
10,2022-01-26T15:37:58.000Z,15:37:58,Sin observaciones,2022-01-26T15:37:58.000Z,Sin especificar,Sin especificar,0,27.95,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2022-01-26T15:37:58.000Z,2022-01-26T15:37:58.000Z,1032,1,9
11,2022-03-12T15:58:13.000Z,15:58:13,Sin observaciones,2022-03-12T15:58:13.000Z,Sin especificar,Sin especificar,0,26.2,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2022-03-12T15:58:13.000Z,2022-03-12T15:58:13.000Z,1032,1,9
12,2022-10-29T15:04:00.000Z,15:04:00,Sin observaciones,2022-10-29T15:04:00.000Z,Sin especificar,Sin especificar,0,22,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2022-10-29T15:04:00.000Z,2022-10-29T15:04:00.000Z,1032,1,9
13,2024-01-08T22:25:21.000Z,22:25:21,DIARREA INTERMITENTE HACE 2 DIASMATERIA BLANDA CON UN POCO DE MATERIA LIQUIDARESTO EXAMEN SPNEOENTERODESPARASITAR,2024-01-08T22:25:21.000Z,Sin especificar,Sin especificar,0,18.8,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2024-01-08T22:25:21.000Z,2024-01-08T22:25:21.000Z,5120,1,9
14,2018-05-19T17:54:18.000Z,17:54:18,Sin observaciones,2018-05-19T17:54:18.000Z,Sin especificar,Sin especificar,38.5,8.5,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2018-05-19T17:54:18.000Z,2018-05-19T17:54:18.000Z,1036,1,13
17,2023-10-27T18:55:55.000Z,18:55:55,controlscore corporal 6controlar balanceado,2023-10-27T18:55:55.000Z,Sin especificar,Sin especificar,39,10.6,Sin especificar,Sin especificar,Sin especificar,FALSE,FALSE,2023-10-27T18:55:55.000Z,2023-10-27T18:55:55.000Z,6,1,13
