VacunacionId,VacunacionFecha,hora,VacunacionContra,timestamp,vacunaNombre,VacunaMarca,temperatura,peso,referencia,notaCaja,timestamp,timestamp,VacunacionMascotaId,referenciaId
17001,2018-09-19,00:00:00,xxx,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,2833,2
17349,2019-02-06,00:00:00,rcprabies,2000-01-01 00:00:00,RCP + RABIA,BOEHRINGER,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,3880,2
17360,2019-02-08,00:00:00,DHPPi A535E01 06/20RL 136A03 06/21,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,3559,2
17382,2019-02-13,00:00:00,Rabia A504C02 08/22,2000-01-01 00:00:00,RABIA,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,699,2
17494,2019-04-09,00:00:00,sin detalles,2000-01-01 00:00:00,RABIA,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,3728,2
17557,2020-03-30,00:00:00,A504C02 08/22 Rabia,2000-01-01 00:00:00,RABIA,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,2216,2
17558,2020-07-20,00:00:00,DHPPi A561B02 02/21Lepto A43A01 10/21,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,2216,2
17559,2020-06-22,00:00:00,C6/CV,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4183,2
17560,2020-07-20,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4183,2
17561,2020-05-18,00:00:00,RCP L473295 05/12/20,2000-01-01 00:00:00,PUREVAC,BOEHRINGER,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4184,2
17562,2020-07-20,00:00:00,RCP L475349 11/4/21Rabia L472793 29/10/20,2000-01-01 00:00:00,RCP + RABIA,BOEHRINGER,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4184,2
17563,2020-06-24,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4185,2
17564,2020-07-20,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4185,2
17565,2020-06-24,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4186,2
