id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enable,clienteId,colorId,razaId,especieId
1,CHENGUE,MACHO,2011-03-27T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,44,3,349,1
2,SAMANTHA,HEMBRA CASTRADA,1999-10-06T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,1,9,333,1
3,MASTINA,HEMBRA,2003-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,45,1,45,1
4,BAMBINO,MACHO ENTERO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,1,28,326,1
5,AMIGO,MACHO,2010-10-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,46,1,161,1
6,QUEEN,HEMBRA CASTRADA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,1,6,79,1
7,CRUZA,MACHO,2006-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,47,3,326,1
8,KIMBA,HEMBRA ENTERA,2011-12-27T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,1,18,338,1
9,RENATA,HEMBRA CASTRADA,1999-02-20T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,48,4,345,2
10,YAQUI,HEMBRA CASTRADA,2005-04-29T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,2,3,324,1
11,MANCHI,HEMBRA,2007-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,49,1,132,1
12,POLINO,MACHO ENTERO,2008-03-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,3,3,339,1
13,CACO,MACHO CASTRADO,1996-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,50,52,344,2
14,VILLE,MACHO CASTRADO,2006-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,51,4,344,2
15,MANCHA,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,52,1,326,1
16,INDIA,HEMBRA,2011-04-14T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,54,1,62,1
17,BIANCO,MACHO,1998-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,54,1,5,1
18,OLIVIA,HEMBRA,2006-10-04T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,55,1,409,1
19,YIMA,HEMBRA,2011-05-18T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,56,1,197,1
20,FELIPE,MACHO,2009-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,57,23,33,1
21,LUCAS,MACHO,2002-12-24T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,58,22,334,1
22,ABRIL,HEMBRA,2004-01-06T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,58,1,326,1
23,JULIA,HEMBRA,2011-04-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,59,23,353,1
24,SAYA,HEMBRA,2009-11-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,60,1,352,1
25,LAICA,HEMBRA,2005-06-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,59,1,326,1
26,LUNA,HEMBRA,2005-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,61,1,326,1
27,EMA,HEMBRA,2009-01-10T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,62,30,248,1
28,OSVALDO,MACHO,2008-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,63,2,119,1
29,POLO,MACHO,1995-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,64,18,124,1
30,DUKE,MACHO CASTRADO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,65,9,355,2
31,MARI,HEMBRA CASTRADA,1995-10-22T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,66,1,201,2
32,PANCHO,MACHO,2006-10-29T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,67,1,326,1
33,POMBO,MACHO,2008-05-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,68,1,99,1
34,APSO,HEMBRA,2007-05-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,69,18,32,1
35,BALTAZAR,MACHO,1998-01-08T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,70,1,326,1
36,ROCKI,MACHO,2007-09-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,71,10,330,1
37,TINTA,HEMBRA,2009-01-12T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,72,10,331,1
38,CAYLA,INDEFINIDO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,72,1,500,1
39,JABURU,MACHO,2009-06-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,73,3,330,1
40,VALDEZ,MACHO,2001-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,74,6,99,1
41,STAR,MACHO,2008-08-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,75,23,326,1
42,JULIETA,HEMBRA,2002-12-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,76,1,324,1
43,SCOOBY,MACHO CASTRADO,2002-02-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,123,1,326,1
44,BENJAMIN,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,124,10,326,1
45,RONY,MACHO,2005-06-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,125,1,79,1
46,SPOT,MACHO,1995-02-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,125,1,500,1
47,CANDELARIA,HEMBRA,1997-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,126,4,344,2
48,TIAGO,MACHO,2005-08-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,3,1,92,1
49,SIMON,MACHO ENTERO,2004-02-22T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,3,2,202,1
50,SASHA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,77,3,330,1
51,ABRAHAM,MACHO,2002-11-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,78,3,500,1
52,FADO,MACHO,2004-09-17T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,78,1,242,1
53,SIMON,MACHO,2000-09-21T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,78,24,330,1
54,JACOBO,MACHO,1999-04-21T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,78,18,241,1
55,SIMON,MACHO,2000-09-21T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,78,2,330,1
56,DINO,MACHO,2004-09-17T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,78,1,242,1
57,CALA,HEMBRA,2008-05-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,89,1,324,1
58,SASHA,HEMBRA,1998-08-25T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,90,1,99,1
59,DONNA,HEMBRA,2001-04-13T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,91,9,333,1
60,BELLA,HEMBRA,2002-11-07T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,78,1,242,1
61,WIZZY,HEMBRA,2004-10-20T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,79,1,267,1
62,FLASH,MACHO,2002-04-26T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,91,9,333,1
63,ROCO,MACHO CASTRADO,2003-06-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,91,9,333,1
64,HUATA,MACHO,2008-09-20T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,92,24,330,1
65,TANA,HEMBRA,2004-04-24T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,80,3,45,1
66,MAX,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,81,10,330,1
67,PINKI,HEMBRA,2004-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,81,1,344,2
