id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
1,MERENGUE,MACHO,2010-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,18,120,2
2,SAMANTHA,HEMBRA CASTRADA,2011-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,1,9,333,1
3,BAMBINO,MACHO ENTERO,2011-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,1,28,326,1
4,QUEEN,HEMBRA CASTRADA,2011-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,1,6,79,1
5,CHENGUE,MACHO,2011-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,44,3,349,1
6,KIMBA,HEMBRA ENTERA,2011-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,1,18,338,1
7,MASTINA,HEMBRA,2011-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,45,1,45,1
8,YAQUI,HEMBRA CASTRADA,2005-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,2,3,324,1
9,POLINO,MACHO ENTERO,2008-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,3,3,339,1
10,AMIGO,MACHO,2010-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,46,1,161,1
11,TIAGO,MACHO,2011-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,3,1,92,1
12,CRUZA,MACHO,2011-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,47,3,326,1
13,RENATA,HEMBRA CASTRADA,2011-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,48,4,345,2
14,MANCHI,HEMBRA,2011-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,49,1,132,1
15,SIMON,MACHO ENTERO,2008-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,3,2,202,1
16,LAND,MACHO,2006-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,4,7,338,1
17,PINDO,HEMBRA,2004-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,4,18,338,1
18,KAL?,HEMBRA,2004-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,4,1,338,1
19,ARON,MACHO,2005-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,4,1,273,1
20,TINA,HEMBRA,2005-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,4,3,273,1
