MascotaId,MascotaNombre,MascotaSexo,MascotaNacimiento,MascotaDeceso,MascotaObservaciones,MascotaSocio,MascotaClienteId,MascotaColorId,MascotaRazaId,MascotaEspecieId
9098,ALINA,femenino,2012-05-08,1000-01-01,sin observaciones,false,7984,39,1,1
9099,DRAGO,masculino,2023-03-04,1000-01-01,sin observaciones,false,7674,57,109,1
9100,ROLO,masculino,2023-03-08,1000-01-01,sin observaciones,false,7985,28,1,1
9101,CAFE,masculino,2023-03-09,1000-01-01,sin observaciones,false,7986,16,74,1
9102,OLIVIA,femenino,2020-03-08,1000-01-01,sin observaciones,false,7987,3,1,1
9103,MERLIN,masculino,2022-12-08,1000-01-01,sin observaciones,false,7988,2,2,2
9104,ROMA,femenino,2023-03-08,1000-01-01,sin observaciones,false,7373,1,106,1
9105,TOBY,masculino,2009-10-21,1000-01-01,sin observaciones,false,7989,8,16,1
9106,TICO,masculino,2010-05-09,1000-01-01,sin observaciones,false,7990,3,108,1
9107,JUPITER,femenino,2023-01-01,1000-01-01,sin observaciones,false,7991,35,2,2
9108,HARRY,masculino,1000-01-01,1000-01-01,sin observaciones,false,1564,6,161,1
9109,MIYU,femenino,2022-03-12,1000-01-01,sin observaciones,false,7992,75,3,2
9110,LILI,femenino,2022-05-13,1000-01-01,sin observaciones,false,7993,64,2,2
9111,RONDA,femenino,2023-03-20,1000-01-01,sin observaciones,false,3454,14,26,1
9112,YETI,masculino,2022-11-13,1000-01-01,sin observaciones,false,7994,1,1,1
9113,KATTY,femenino,2022-01-01,1000-01-01,sin observaciones,false,7995,47,187,10
9114,AYLA,femenino,2023-03-27,1000-01-01,sin observaciones,false,7996,2,34,1
9115,LOLO,masculino,2018-06-19,1000-01-01,sin observaciones,false,7997,22,7,1
9116,JOTA,masculino,2019-05-15,1000-01-01,sin observaciones,false,7998,6,59,1
9117,BRINA,femenino,2022-01-15,1000-01-01,sin observaciones,false,7932,1,1,1
9118,CONNIE COOKI,femenino,2021-05-16,1000-01-01,sin observaciones,false,7999,63,186,14
9119,LOLO,masculino,2022-11-16,1000-01-01,sin observaciones,false,8000,49,44,15
9120,SOL,masculino,2011-05-16,1000-01-01,sin observaciones,false,3937,34,2,2
9121,ZEUS,masculino,2023-03-18,1000-01-01,sin observaciones,false,8001,6,18,1
