id,nombre,sexo,nacimiento,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
1,BAMBOO,Macho,2019-04-09,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1279,9,56,1
2,FIONA,Hembra,2008-05-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1279,3,31,1
3,Tres,Macho,2011-11-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1261,23,19,1
4,UMA,Hembra,2010-01-18,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1279,11,31,1
5,RAMON,Macho,2014-06-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1282,11,10,1
6,COLO,Macho,2002-10-13,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1261,15,136,2
7,LOLA,Hembra,2012-04-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1287,11,28,1
8,Petra,Hembra,2011-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1263,11,27,1
9,LUNA,Hembra,2014-08-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1292,3,32,1
10,ZENAIDA,Hembra,2018-09-18,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1292,11,9,1
11,PIPA,Hembra,2011-11-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1266,1,19,1
12,GERONIMO,Macho,2020-04-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1292,11,124,2
13,INDIA,Hembra,2008-02-23,1000-01-01,"TUVO 2 CAMADAS DE CACHORROS, UNA DE ESAS PRODUCTO DE RELACIONES INCESTUAS POR NEGLIGENCIA DE SUS TUTORES",0000000000,FALSE,TRUE,1266,1,19,1
14,POCHA,Hembra,2017-05-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1269,1,30,1
15,CHANO,Macho,2018-01-21,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1269,1,30,1
16,BALU,Macho,2018-01-21,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1269,1,30,1
17,NUMA,Hembra,2018-02-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1294,11,10,1
18,SEPTIMO,Macho,2011-09-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1297,9,28,1
19,LOLA,Hembra,2010-05-22,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1300,2,6,1
20,RAMON,Macho,2016-11-30,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1270,2,31,1
21,NACHO,Macho,2007-09-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1303,11,10,1
22,BATUK,Macho,2022-12-19,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1270,27,137,1
23,DESIREE,Hembra,2006-07-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1306,2,5,1
24,OKI,Macho,2009-09-14,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1273,9,28,1
25,GAIA,Hembra,2010-09-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1308,3,20,1
26,THEO,Macho,2014-06-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1273,9,28,1
27,PANCHO,Macho,2012-07-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1311,11,31,1
28,FLOGGER,Macho,2009-07-15,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1275,9,26,1
29,Chichi,Hembra,2016-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1311,1,31,1
30,PAPPER,Macho,2017-08-25,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1275,9,26,1
31,MORA,Hembra,2012-06-04,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1315,2,5,1
32,Paper,Macho,2011-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1275,1,135,1
33,ZEUS,Macho,2016-05-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1318,4,35,1
34,TOMY,Macho,2017-02-03,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1281,1,12,1
35,WILLIE,Macho,2006-06-04,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1320,23,37,1
36,RUFINA,Hembra,2016-09-26,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1291,4,24,1
37,AROSA,Hembra,2017-11-18,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1320,23,37,1
38,Moritz,Macho,2023-07-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1320,1,37,1
39,RUFO,Macho,2015-05-26,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1291,9,28,1
40,PROTON,Macho,2014-09-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1322,23,31,1
41,BARTOLO,Macho,2010-02-23,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1293,11,31,1
42,RAMONA,Hembra,2019-03-03,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1293,1,39,1
43,PAQUITA,Hembra,2017-11-28,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1323,1,8,1
44,LOLA,Hembra,2014-06-10,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1296,1,31,1
45,HIJA,Hembra,2020-04-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1323,1,39,1
46,DOROTEO,Macho,2011-03-03,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1325,1,5,1
47,PRINCESS,Hembra,2011-05-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1299,3,32,1
48,TOBIAS,Macho,2013-08-28,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1325,1,5,1
49,BAT,Macho,2016-12-10,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1299,3,32,1
50,LUZ,Hembra,2023-09-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1325,1,136,2
51,SAMA,Hembra,2017-09-18,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1302,3,20,1
52,Otilia,Hembra,2024-06-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1325,1,29,1
53,LUNA,Hembra,2016-06-18,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1304,11,17,1
54,ITZA,Hembra,2017-07-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,11,38,1
55,RASTA,Macho,2009-09-29,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1307,11,31,1
56,LEILA,Hembra,2016-09-15,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,1,136,2
57,TINA,Hembra,2016-03-10,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,9,136,2
58,SASHA,Hembra,2016-10-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1310,4,24,1
59,BILANOA,Macho,2016-04-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,3,136,2
60,PIERO,Macho,2013-06-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1313,9,28,1
61,RAMONA,Hembra,2016-09-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,3,31,1
62,MUMM,Macho,2005-07-19,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1316,9,28,1
63,TOBY,Macho,2018-04-17,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1319,1,27,1
64,TITO,Macho,2016-04-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,3,31,1
65,JUANA,Hembra,2018-03-25,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1324,3,28,1
66,RAMONA,Hembra,2020-09-27,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1324,1,119,2
67,OLIVIA,Hembra,2022-11-24,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1324,9,81,1
68,SOL,Hembra,2017-03-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1330,11,29,1
69,SAM,Macho,2016-12-26,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1333,11,31,1
70,FOXY,Hembra,2021-11-30,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1333,1,5,1
71,URCO,Macho,2015-06-09,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1336,4,136,2
72,FITO,Macho,2015-03-10,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1338,1,31,1
73,PECAS,Hembra,2017-08-14,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,1,41,1
74,MATEO,Macho,2009-08-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1340,9,28,1
75,DJANGO,Macho,2013-12-03,2023-02-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,1,38,1
76,CHOMPIRAS,Macho,2011-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1344,10,14,1
77,SILA,Hembra,2018-03-28,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,11,38,1
78,MILI,Hembra,2004-11-22,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1349,9,28,1
79,RATZEL,Macho,2018-04-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,15,136,2
80,CLEO,Hembra,2014-10-09,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1351,9,26,1
81,BARACUS,Macho,2019-09-25,2022-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,1,41,1
82,Bruena,Hembra,2021-11-13,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1351,1,47,1
83,Romeo,Macho,2018-01-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1327,1,31,1
84,kombu,Macho,2021-11-18,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1351,1,47,1
85,PIPPA,Hembra,2017-08-04,1000-01-01,"PROBLEMAS HEPATICOS NO USAR NEXGARD",0000000000,FALSE,TRUE,1329,11,39,1
86,CLOE,Hembra,2010-11-04,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1331,2,5,1
87,GALA,Hembra,2015-06-30,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1355,11,17,1
88,JIMMY,Macho,2017-07-14,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1337,9,135,1
89,LUKE,Macho,2016-03-23,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1357,3,31,1
90,Pucho,Macho,2015-05-20,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1337,40,31,1
91,LOLA,Hembra,2014-07-19,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1361,9,33,1
92,Roco,Macho,2021-06-30,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1361,1,34,1
93,"MARRIE SOFIE",Hembra,2016-02-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1339,76,146,2
94,MORA,Hembra,2016-02-01,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1363,23,29,1
95,LILI,Hembra,2015-11-03,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1339,9,124,2
96,ALMA,Hembra,2002-11-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1343,14,20,1
97,ROSALIE,Hembra,2001-03-14,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1392,9,31,1
98,CHICHO,Macho,2006-01-15,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1370,2,31,1
