RazaId,RazaNombre,descripcion,RazaEspecieId
1,CRUZA CANINO,sin descripcion,1
2,CRUZA FELINO,sin descripcion,2
3,SIAMES,sin descripcion,2
4,PERSA,sin descripcion,2
5,Gato Pardo,sin descripcion,2
6,Gato Monts,sin descripcion,2
7,BEAGLE,sin descripcion,1
8,BULL TERRIER,sin descripcion,1
9,BOXER,sin descripcion,1
10,BLOOD HOUND,sin descripcion,1
11,Corriedale,sin descripcion,4
12,BULL DOG,sin descripcion,1
13,BASSET HOUND,sin descripcion,1
14,CHOW-CHOW,sin descripcion,1
15,CHIHUAHUA,sin descripcion,1
16,CANICHE,sin descripcion,1
17,COCKER,sin descripcion,1
18,CIMARRON,sin descripcion,1
19,COLLIE,sin descripcion,1
20,DOBERMAN,sin descripcion,1
21,DACHSHUND,sin descripcion,1
22,DALMATA,sin descripcion,1
23,DOGO,sin descripcion,1
24,FOX TERRIER,sin descripcion,1
25,FILA,sin descripcion,1
26,GALGO,sin descripcion,1
27,GOLDEN RETRIEVER,sin descripcion,1
28,GRAN DANES,sin descripcion,1
29,LABRADOR RETRIEVER,sin descripcion,1
30,MASTIN,sin descripcion,1
31,OVEJERO ALEMAN,sin descripcion,1
32,PEQUINES,sin descripcion,1
33,ROTTWEILER,sin descripcion,1
34,SIBERIAN HUSKY,sin descripcion,1
35,SHIH-TZU,sin descripcion,1
36,SCHNAUZER,sin descripcion,1
37,SAMOYEDO,sin descripcion,1
38,SAN BERNARDO,sin descripcion,1
39,SHAR PEIS,sin descripcion,1
40,TERRANOVA,sin descripcion,1
41,WEIMARANER,sin descripcion,1
42,WHIPPET,sin descripcion,1
43,YORKSHIRE TERRIER,sin descripcion,1
44,HURON,sin descripcion,15
45,BRETON,sin descripcion,1
46,YORKSHIRE TERRIER,sin descripcion,1
47,AMARILLO,sin descripcion,2
48,VIZLA,sin descripcion,1
49,SETTER,sin descripcion,1
50,BRETON,sin descripcion,1
51,BICHON FRISSE,sin descripcion,1
52,MALAMUT,sin descripcion,1
53,NULL,sin descripcion,
54,MALTES,sin descripcion,1
55,OVEJERO BELGA,sin descripcion,1
56,AMERICAN STANFORD,sin descripcion,1
57,PERSA,sin descripcion,2
58,AKITA,sin descripcion,1
59,PITBULL,sin descripcion,1
60,TAMANDUA,sin descripcion,1
61,OLD ENGLISH,sin descripcion,1
62,PUG,sin descripcion,1
63,GRIFFON,sin descripcion,
64,WEST HIGHLAND WHITE TERRIER,sin descripcion,1
65,BERGER DE BRIZ,sin descripcion,1
66,PINSCHER,sin descripcion,1
67,BARBILLA,sin descripcion,1
68,MASTIN NAPOLITANO,sin descripcion,1
69,TONKINS,sin descripcion,2
70,BULL MASTIFF,sin descripcion,1
71,BOSQUE DE NORUEGA,sin descripcion,2
72,BUL DOG FRANCES,sin descripcion,1
73,STAFFORDSHIRE BULL TERRIER,sin descripcion,1
74,BULL DOG INGLES,sin descripcion,1
75,SCOTTISH TERRIER,sin descripcion,1
76,BOSTON TERRIER,sin descripcion,1
77,EXOTICO PELO CORTO,sin descripcion,2
78,BULL DOG AMERICANO,sin descripcion,1
79,PRESA CANARIO,sin descripcion,1
80,DOGO DE BURDEOS,sin descripcion,1
81,BRACO,sin descripcion,1
82,JACK RUSSEL TERRIER,sin descripcion,1
83,BOSTON TERRIER,sin descripcion,1
84,ANGORA,sin descripcion,2
85,POMERAA,sin descripcion,1
86,PASTOR DE BRIE,sin descripcion,1
87,BOYERO DE BERNA,sin descripcion,1
