id,nombre,descripcion,especieId
1,ABISINIO,Sin descripcion,2
2,AFFEN-PINSCHER,Sin descripcion,1
3,AFGANO,Sin descripcion,1
4,AINU HOKKAIDO KEN,Sin descripcion,1
5,AIREDALE TERRIER,Sin descripcion,1
6,AKHAL - TEKE,Sin descripcion,3
7,AKITA JAPONES,Sin descripcion,1
8,ALASKAN MALAMUTE,Sin descripcion,1
9,ALBINO,Sin descripcion,3
10,ALTER REAL,Sin descripcion,3
11,KOMONDOR,Sin descripcion,1
12,KORAT,Sin descripcion,2
13,KUVASZ,Sin descripcion,1
14,AMERICAN CURL,Sin descripcion,2
15,ANDALUZ,Sin descripcion,3
16,ANGORA,Sin descripcion,2
17,APPALOOZA,Sin descripcion,3
18,ARDENES,Sin descripcion,3
19,ASTURCON,Sin descripcion,3
20,AVELINES,Sin descripcion,3
21,AZTECA,Sin descripcion,3
22,BALINES,Sin descripcion,2
23,LAKELAND TERRIER,Sin descripcion,1
24,BASENJI,Sin descripcion,1
25,BASSET FAUVE DE BRETANA,Sin descripcion,1
26,LANCASHIRE (HEELER),Sin descripcion,1
27,BASSET GRIFON VENDEEN PETIT,Sin descripcion,1
28,LAPPHUND FINNISH,Sin descripcion,1
29,BASSET HOUND,Sin descripcion,1
30,LEONBERGER,Sin descripcion,1
31,BAVARO,Sin descripcion,3
32,LHASA APSO,Sin descripcion,1
33,BEAGLE,Sin descripcion,1
34,LIPIZZANO,Sin descripcion,3
35,LOBERO IRLANDES,Sin descripcion,1
36,LOWCHEN,Sin descripcion,1
37,LUSITANO,Sin descripcion,3
38,MALLORQUIN,Sin descripcion,3
39,MALTES,Sin descripcion,1
40,MANCHESTER TERRIER,Sin descripcion,1
41,MANX,Sin descripcion,2
42,MASTIN DE PIRINEOS,Sin descripcion,1
43,MASTIN ESPANOL,Sin descripcion,1
44,MASTIN INGLES,Sin descripcion,1
45,MASTIN NAPOLITANO,Sin descripcion,1
46,MASTIN TIBETANO,Sin descripcion,1
47,MENORQUINA,Sin descripcion,3
48,MEXICANO DOMESTICO,Sin descripcion,2
49,MONGOL,Sin descripcion,3
50,MORGAN HORSE,Sin descripcion,3
51,BEAUCERON,Sin descripcion,1
52,BEDLINGTON TERRIER,Sin descripcion,1
53,BERBERISCO,Sin descripcion,3
54,BEREBER,Sin descripcion,3
55,BERGAMASCO,Sin descripcion,1
56,BERNES DE LA MONTANA,Sin descripcion,1
57,BICHON FRISE,Sin descripcion,1
58,BIRMANO,Sin descripcion,2
59,BLOODHOUND,Sin descripcion,1
60,BOLONES,Sin descripcion,3
61,BOMBAY,Sin descripcion,2
62,BORDER COLLIE,Sin descripcion,1
63,BORDER TERRIER,Sin descripcion,1
64,MUSTANG,Sin descripcion,3
65,BORZOI,Sin descripcion,1
66,NONIUS,Sin descripcion,3
67,NORFOLK TERRIER,Sin descripcion,1
68,BOSTON TERRIER,Sin descripcion,1
69,NORIKER,Sin descripcion,3
70,BOUVIER DE LAS ARDENAS,Sin descripcion,1
71,NORWICH TERRIER,Sin descripcion,1
72,BOUVIER DES FLANDRES,Sin descripcion,1
73,OCICAT,Sin descripcion,2
74,BOXER,Sin descripcion,1
75,OLNDENBURGO,Sin descripcion,3
76,BRABANTE,Sin descripcion,3
77,OTTERHOUND,Sin descripcion,1
78,BRACO,Sin descripcion,1
79,OVEJERO ALEMAN,Sin descripcion,1
80,BRACO ALEMAN,Sin descripcion,1
81,OVEJERO BELGA (GROENENDAEL),Sin descripcion,1
82,BRACO BRAND,Sin descripcion,1
83,OVEJERO BELGA (LAEKEN),Sin descripcion,1
84,BRACO DE ARIEGE,Sin descripcion,1
85,OVEJERO BELGA (MALINES),Sin descripcion,1
86,BRACO DE AUVERNIA,Sin descripcion,1
87,OVEJERO BELGA (TERVUEREN),Sin descripcion,1
88,BRACO DE SAINT GERMAIN,Sin descripcion,1
89,BRACO FRANCES,Sin descripcion,1
90,PALOMINO,Sin descripcion,3
91,BRACO ITALIANO,Sin descripcion,1
92,BRETON,Sin descripcion,3
93,PAPILLON,Sin descripcion,1
94,BRIARD,Sin descripcion,1
95,PASO DE TENNESEE,Sin descripcion,3
96,BRUMBY,Sin descripcion,3
97,PASO FINO,Sin descripcion,3
98,BUDYONNY,Sin descripcion,3
99,PASTOR ALEMAN,Sin descripcion,1
100,BUHUND NORUEGO,Sin descripcion,1
101,PASTOR BELGA (GROENENDAEL),Sin descripcion,1
102,BULL MASTIFF,Sin descripcion,1
103,PASTOR BELGA (LAEKEN),Sin descripcion,1
104,BULL TERRIER,Sin descripcion,1
105,PASTOR BELGA (MALINES),Sin descripcion,1
106,PASTOR BELGA (TERVUEREN),Sin descripcion,1
107,PASTOR DE MAREMMA,Sin descripcion,1
108,PASTOR DE PICARDIA,Sin descripcion,1
109,PASTOR DE SHETLAND,Sin descripcion,1
110,BULL TERRIER (MINIATURA),Sin descripcion,1
111,PEQUINES,Sin descripcion,1
112,BULLDOG,Sin descripcion,1
113,BULLDOG FRANCES,Sin descripcion,1
114,BURMESE,Sin descripcion,2
115,BUSCKSKIN,Sin descripcion,3
116,PERCHERON FRANCES,Sin descripcion,3
117,PERRO DE AGUAS PORTUGUES,Sin descripcion,1
118,PERRO ESKIMAL,Sin descripcion,1
119,CABALLO DE LAS MURGES,Sin descripcion,3
120,PERSA,Sin descripcion,2
121,CAIRN TERRIER,Sin descripcion,1
122,PERUANO DE PASO,Sin descripcion,3
123,CAMARGUES,Sin descripcion,3
124,PINSCHER,Sin descripcion,1
125,CANAAN-DOG,Sin descripcion,1
126,CASPIO,Sin descripcion,3
127,CHIHUAHUENO,Sin descripcion,1
128,PINSCHER MINIATURA,Sin descripcion,1
129,CHIHUAHUENO (PELO LARGO),Sin descripcion,1
130,PINTO,Sin descripcion,3
131,CHIN JAPONES,Sin descripcion,1
132,POINTER,Sin descripcion,1
133,CHOW CHOW,Sin descripcion,1
134,POINTER ALEMAN (PELO CORTO),Sin descripcion,1
135,CLEVELAND BAY,Sin descripcion,3
136,POINTER ALEMAN (PELO DE ALAMBRE),Sin descripcion,1
137,POINTER ALEMAN (PELO LARGO),Sin descripcion,1
138,POINTER INGLES,Sin descripcion,1
139,CLYDESDALE,Sin descripcion,3
140,POMERANIA,Sin descripcion,1
141,PONI AMERICANO,Sin descripcion,3
142,PONI DE SILLA INGLES,Sin descripcion,3
143,PONI GALES,Sin descripcion,3
144,PONI PINTADO INGLES,Sin descripcion,3
145,POODLE (ESTANDAR),Sin descripcion,1
146,POODLE (MINIATURA),Sin descripcion,1
147,POODLE (TOY),Sin descripcion,1
148,PUG,Sin descripcion,1
149,COB GALES,Sin descripcion,3
150,PULI,Sin descripcion,1
151,COBRADOR (DE LA BAHIA DE CHESAPEAKE),Sin descripcion,1
152,PURA RAZA ESPANOLA,Sin descripcion,3
153,PURA SANGRE ANGLO-ARABE,Sin descripcion,3
154,COBRADOR (DORADO),Sin descripcion,1
155,PURA SANGRE ARABE,Sin descripcion,3
156,COBRADOR (LABRADOR),Sin descripcion,1
157,COBRADOR (PELO LISO),Sin descripcion,1
158,PURA SANGRE INGLES,Sin descripcion,3
159,COBRADOR (PELO RIZADO),Sin descripcion,1
160,REX,Sin descripcion,2
161,COLLIE,Sin descripcion,1
162,RHODESIAN RIDGEBACK,Sin descripcion,1
163,ROTTWEILER,Sin descripcion,1
164,COLLIE (PASTOR PELO CORTO),Sin descripcion,1
165,RUSO,Sin descripcion,2
166,COLLIE (ROUGH),Sin descripcion,1
167,COLLIE (SMOOTH),Sin descripcion,1
168,SALERNITANO,Sin descripcion,3
169,COLLIE BARBUDO,Sin descripcion,1
170,SALUKI,Sin descripcion,1
171,COMTOIS,Sin descripcion,3
172,SAMOYEDO,Sin descripcion,1
173,CONNEMARA,Sin descripcion,3
174,SAN BERNARDO,Sin descripcion,1
175,COON,Sin descripcion,2
176,SAN FRATELANO,Sin descripcion,3
177,COONHOUND,Sin descripcion,1
178,SCHIPPERKE,Sin descripcion,1
179,SCHNAUZER ESTANDAR,Sin descripcion,1
180,SCHNAUZER GIGANTE,Sin descripcion,1
181,CRESTADO CHINO,Sin descripcion,1
182,SCHNAUZER MINIATURA,Sin descripcion,1
183,CRIOLLO,Sin descripcion,1
184,SEALYHAM TERRIER,Sin descripcion,1
185,CRIOLLO,Sin descripcion,3
186,SETTER GORDON,Sin descripcion,1
187,CRUZADO AMERICANO,Sin descripcion,3
188,SETTER INGLES,Sin descripcion,1
189,CRUZADO ARGENTINO,Sin descripcion,3
190,SETTER IRLANDES,Sin descripcion,1
191,CUARTO DE MILLA AMERICANO,Sin descripcion,3
192,SHAGYA,Sin descripcion,3
193,SHAR PEI,Sin descripcion,1
194,CUARTO DE MILLA CANADIENSE,Sin descripcion,3
